PROG,USO,DESTINAZIONE,PORTATA,FLAG_ANN_MASSA_RIMORC,CILINDRATA,ALIMENTAZIONE,MASSA_RIMORCHIABILE,NUMERO_POSTI,TIPO_ALIMENTAZIONE_IMPIANTO,KW,DT_PRIMA_IMMATRICOLAZIONE,NUMERO_ASSI,COD_SIGLA_EURO,EMISSIONI_CO2,PESO_COMPLESSIVO,COD_ISTAT_COMUNE,COD_ISTAT_PROVINCIA
551112,0,A,435,P,01242,B,1000,5,,44,2005,2,EURO4,1360,1385,188,016
14485861,0,A,435,P,"1242,00",B,1000,5,M,44,2000,2,EURO2,1360,1385,103,017
13416010,0,A,370,A,"1497,00",B-E,0,5,,55,2013,2,EURO6,790,1565,126,012
14859080,0,A,418,A,"1388,00",GPL,0,5,,71,2016,2,EURO6,1140,1530,175,015
7720700,3,B,5730,A,"11967,00",G,0,77,,220,2006,2,EURO3,0,18000,146,015
11481607,0,A,512,P,01398,B,850,5,,74,2010,2,EURO5,1290,1885,219,015
2839513,0,A,125,P,01747,B,450,2,,96,2001,2,EURO2,1980,1260,166,015
1190555,4,C,990,P,2477,G,2700,5,,85,2005,2,EURO3,0,2830,174,017
14648653,0,A,485,P,"1242,00",B,900,5,,51,2015,2,EURO6,1240,1590,075,013
14880318,0,A,0,P,1686,G,0,5,F,96,2014,2,EURO5,0,1896,163,017
1454226,0,A,463,P,01753,G,1200,5,,74,2004,2,EURO3,1380,1720,192,017
14551660,0,M,85,A,"1203,00",B,0,2,,60,1999,2,,0,372,015,015
14369048,0,A,525,P,"1968,00",G,1800,5,F,103,2012,2,EURO5,1370,2045,018,018
7272430,0,A,445,P,01910,G,1300,5,,85,2004,2,EURO3,1550,1810,146,015
703129,0,A,275,A,01299,B,0,4,,51,2005,2,EURO4,1500,1265,051,016
13642157,0,A,410,A,"996,00",B,0,5,,50,2014,2,EURO5,1090,1485,006,108
8310467,0,A,525,P,02148,G,1500,5,,110,2005,2,EURO4,1800,2095,036,019
15616765,0,A,410,P,"2927,00",B,1400,5,,158,2016,2,EURO0,0,1880,024,016
9388722,0,A,445,P,01560,G,1636,5,,66.2,2008,2,EURO4,1250,1777,109,017
6472774,0,M,70,A,00123,B-O,,2,,5.89,1983,2,EURO0,0,245,110,018
12782017,0,A,391,P,"1461,00",G,1100,5,,65,2012,2,EURO5,1300,1615,033,108
7163648,0,M,,A,00245,B,,2,,2.21,1956,2,EURO0,0,,177,018
10868282,0,A,585,P,01598,B,1000,7,,85,2009,2,EURO4,1690,2090,146,015
11032751,0,A,485,P,01248,G,1000,5,,55,2009,2,EURO4,1190,1665,021,019
4239548,0,A,385,P,"899,00",B,400,5,,29,1998,2,EURO2,1450,1190,146,015
5347416,0,A,500,P,01929,G,1300,5,,66,1995,2,EURO1,0,1840,038,020
2913243,0,A,480,P,01998,B,1500,5,,120,2001,2,EURO3,2320,1970,119,017
9905721,0,A,420,P,01242,B,200,5,,63,2008,2,EURO4,1310,1485,012,014
1108003,0,A,350,P,01769,G,900,5,,44,1990,2,EURO0,0,1370,011,016
7785845,0,A,395,P,01490,B,800,5,,73,2007,2,EURO4,1720,1480,146,015
14395150,0,M,130,A,865,B,1,2,,50.1,2015,2,EURO3,0,430,146,015
7517973,0,A,394,P,01390,B,800,5,,55,2006,2,EURO4,1580,1594,098,016
12873841,0,A,545,P,"1197,00",B,1200,5,,77,2012,2,EURO5,1490,1885,008,020
6986773,,,410,,00000,,,0,,0,,1,,,600,144,013
4462935,0,A,435,P,01242,B,1000,5,,44,2000,2,EURO2,1360,1370,002,020
10102307,0,M,200,A,00400,B,,2,,25,2008,2,EURO3,0,415,038,016
7803926,0,A,370,P,01242,B,800,4,,44,2006,2,EURO4,1380,1305,089,012
12766224,0,A,534,P,"1686,00",G,1200,5,,81,2012,2,EURO5,1190,2105,031,098
7973593,0,A,397,P,"1360,00",B,950,5,GPL,54,2007,2,EURO4,1500,1620,051,108
11921484,0,A,440,P,"1390,00",B,1000,5,,63,2010,2,EURO5,1390,1570,026,012
6311366,0,A,345,P,00956,B,500,5,,24,1988,2,EURO0,0,1115,041,020
11433365,0,A,365,P,"1242,00",B,800,4,,51,2010,2,EURO5,1100,1340,146,015
10502406,0,A,385,A,01368,M,,4,,57,2009,2,EURO4,1150,1645,088,017
420963,0,A,330,,01116,B,,5,,43,,2,,,1250,146,015
447627,0,A,330,,01116,B,,5,,43,,2,,,1160,103,015
11208206,0,A,482,P,01598,B,1300,5,,81,2010,2,EURO4,1740,1877,103,015
110509,0,A,530,,03431,G,,5,,66,1988,2,EURO0,,2380,036,108
5254243,0,A,435,P,01598,B,1100,5,,55,1994,2,EURO1,0,1565,059,015
420800,0,A,350,,01301,G,,5,,33,,2,,,1255,070,012
1873588,0,A,370,P,01246,B,1000,5,,57,2003,2,EURO4,1290,1455,243,015
11221204,0,A,405,P,01086,GPL,700,5,,48.5,2010,2,EURO4,1150,1405,249,013
3397090,0,A,450,P,01199,B,800,5,,48,2000,2,EURO2,0,1465,081,015
5722545,4,X,1000,A,00000,,,0,,0,1992,1,,0,1300,146,015
6840174,0,M,,A,00121,MSC,0,2,,5.15,1980,2,EURO0,0,,012,012
4789807,0,A,505,P,01995,B,1500,5,,151,1997,2,EURO2,0,2130,004,018
1560960,0,M,118,A,00385,B,,2,,23.5,2004,2,EURO2,0,395,027,108
9263994,0,A,533,P,01390,B,1400,5,,103,2008,2,EURO4,1690,1870,134,017
10614660,0,A,450,P,01991,G,1500,5,,80,2009,2,EURO4,1420,1830,206,013
12781034,0,M,103,A,"153,00",B,0,2,,11.6,2012,2,EURO3,0,314,103,015
13420819,0,A,485,P,"1368,00",B,1000,5,,57,2009,2,EURO5,1320,1600,185,013
9006464,,,30,,00000,,,0,,0,,1,,,900,037,020
10750142,0,A,330,P,00899,B,800,5,,29,1996,2,EURO2,0,1115,151,017
5049007,0,A,330,P,01585,B,1070,5,,75,1979,2,EURO0,0,1400,048,012
631351,0,A,435,P,02387,G,1500,5,,129,2005,2,EURO3,1980,2050,133,017
10518850,0,A,310,A,00998,B,,4,,50,2009,2,EURO4,1060,1190,036,019
3276124,0,M,145,A,00848,B,0,2,,52,2000,2,EURO1,0,450,209,015
6593768,0,A,592,P,01910,G,1500,7,,110,2006,2,EURO4,1670,2205,003,019
10322073,0,A,475,P,01910,G,1500,5,,110,2008,2,EURO4,1900,2095,045,017
24802,0,A,502,,01781,B,,5,,66,,2,,,1430,024,016
9164868,0,A,340,,01360,B,,5,,61,,2,EURO0,,1230,091,097
8584678,0,M,128,A,00645,B,,2,,49,2007,2,EURO3,0,420,021,098
11666145,0,A,483,P,"1198,00",B,800,5,,51,2010,2,EURO5,1280,1550,079,016
10356195,0,A,564,P,01896,G,1400,5,,77,2009,2,EURO4,1450,1890,243,015
10267091,0,A,575,P,02993,G,2700,4,,210,2008,2,EURO4,2200,2760,029,017
14953807,0,A,405,A,"1496,00",G,0,4,,85,2016,2,EURO6,980,1630,146,015
14748032,4,C,593,P,"1560,00",G,1300,3,F,70,2016,2,EURO5,1240,2160,180,018
13833744,0,A,416,A,"1388,00",GPL,0,5,,71,2014,2,EURO5,1140,1530,078,014
9440641,0,M,75,A,00583,B,100,2,,29,,2,EURO0,0,363,209,016
3271540,0,A,345,P,00954,B,500,5,,37,2000,2,EURO2,1390,1235,242,015
11770047,0,A,375,A,"1598,00",G,0,4,,82,2010,2,EURO5,990,1540,205,015
11691287,0,A,501,P,"1582,00",G,1400,5,,66,2010,2,EURO4,1220,1920,011,017
13099938,0,A,450,P,1991,G,1500,5,,80,2012,2,EURO5,1440,1830,201,013
2315620,7,H,30550,A,00000,,,0,,0,2002,4,,0,37500,146,015
14309314,0,A,373,P,"1582,00",G,1500,5,F,81,2015,2,EURO5,1170,1920,166,015
2908526,0,A,420,P,01587,B,1200,5,,80,2001,2,EURO3,1850,1750,029,017
9459064,0,A,446,P,01229,B,800,5,,59,,2,EURO4,1370,1605,003,012
3028099,0,A,325,P,01975,B,1400,4,,102,2001,2,EURO3,2030,1600,027,015
13929334,0,A,510,P,"2179,00",G,1800,5,F,140,2014,2,EURO5,1590,2350,146,015
11751451,0,A,543,P,"1956,00",G,1600,5,,118,2010,2,EURO5,1490,2276,058,012
10437315,0,A,390,P,02231,G,1300,5,,110,2005,2,EURO4,1580,1970,017,020
1649138,0,A,555,P,01794,B,1300,7,,95,2004,2,EURO4,1790,2035,059,017
14318326,0,A,380,P,"998,00",B,400,5,,50,2015,2,EURO6,990,1260,033,108
2769374,4,C,515,P,01796,B,900,4,,86,2001,2,EURO3,2480,2040,030,020
14512124,4,C,616,P,"1560,00",G,1150,3,F,66,2015,2,EURO5,1320,1990,002,015
9371325,0,A,762,P,01997,G,1750,7,,103,2008,2,EURO4,1690,2505,105,015
9822242,0,A,365,P,01364,G,1050,5,,66,2008,2,EURO4,1190,1525,033,020
5887332,0,A,475,P,01360,B,1000,5,,55,1994,2,EURO2,0,1490,019,108
15114301,0,A,395,P,"998,00",B,730,5,,51,2016,2,EURO6,990,1450,207,016
3946580,4,P,425,P,01581,M,1100,5,M,76,1998,2,EURO2,1830,1550,031,018
14324885,0,A,479,P,"1198,00",B,800,5,,51,2008,2,EURO4,1380,1570,137,018
11840738,0,A,557,P,"1984,00",B,2200,5,,147,2010,2,EURO5,1990,2210,029,108
11912407,4,C,430,P,"1242,00",B,800,4,GPL,44,2006,2,EURO4,1330,1390,041,015
12568065,0,A,450,P,"1242,00",B,1000,5,,69,2011,2,EURO5,1280,1560,034,014
8215015,0,A,530,P,01598,B,1050,5,,74,1998,2,EURO2,0,1740,007,108
5539610,0,A,330,P,01585,B,1000,5,,74,1986,2,EURO0,0,1370,021,108
5867668,4,C,960,P,02496,G,1000,3,,56,1997,2,EURO2,0,2650,046,015
867368,0,A,0,,01192,B,,5,,0,,0,,,0,003,012
14383707,0,M,107,A,"471,00",B,0,2,,35,2015,2,EURO3,0,374,111,016
721757,0,A,390,P,01108,B,400,4,,40,2005,2,EURO4,1430,1200,146,015
1870076,0,M,106,A,00647,B,,2,,39,2003,2,EURO2,0,392,146,015
14879954,4,C,1185,P,"2179,00",G,750,2,F,88,2016,2,EURO5,1980,2980,219,016
14355655,0,A,525,P,"1461,00",G,1350,5,F,81,2015,2,EURO5,990,1910,167,015
12074506,4,C,1345,A,"2287,00",G,0,3,,93,2011,2,EURO4,2590,3500,019,108
1757679,0,A,445,P,01910,G,1300,5,,85,2004,2,EURO3,1550,1810,020,016
4603650,0,M,70,A,00150,B,,2,,11,1996,2,EURO0,0,278,113,017
3975060,0,A,330,P,903,B,400,5,,30,1992,2,EURO1,0,1110,042,016
9004625,0,A,420,P,01588,G,1000,5,,51,1985,2,EURO0,0,1430,034,016
7561859,0,A,449,P,01388,B,900,5,,59,2006,2,EURO4,1540,1605,039,016
6978417,5,V,11500,A,05958,G,,2,,149,1987,2,EURO0,0,11500,010,097
775146,0,A,330,P,01392,B,900,5,,54,1990,2,EURO0,0,1275,002,020
13182413,0,A,411,P,"898,00",B,1100,5,,66,2013,2,EURO6,1240,1550,146,015
12600043,0,A,531,P,"1968,00",G,1800,5,F,103,2007,2,EURO4,1560,2060,209,015
9471664,0,A,100,A,998,B,0,4,,50,2008,2,EURO4,109,1180,024,016
9819795,0,A,285,A,00998,B,0,4,,50,2008,2,EURO4,1080,1190,211,015
3376427,0,A,435,P,01242,B,1000,5,,44,1999,2,EURO2,1360,1385,031,097
11228602,0,A,435,P,136000,B,600,5,GPL,54,2015,2,EURO4,1550,1690,155,018
5691420,0,A,350,P,01171,B,650,5,,43,1991,2,EURO0,0,1265,053,108
9901173,0,3,115,P,00498,B,170,2,,14.5,,2,EURO2,0,560,119,012
2720109,0,A,420,P,01124,B,700,5,,44.1,2001,2,EURO3,1480,1405,043,013
579940,0,A,333,P,01124,B,525,4,,44.1,2005,2,EURO3,1380,1340,023,108
11729300,0,M,108,A,"279,00",B,0,2,,20,2010,2,EURO3,0,352,001,018
720855,0,A,480,P,01598,B,1200,5,,74,2005,2,EURO4,1750,1855,132,016
656148,0,A,330,P,01108,B,700,5,,33,1980,2,EURO0,0,1185,050,108
12642234,0,A,483,P,"1198,00",B,800,5,,51,2012,2,EURO5,1280,1550,146,015
8061084,0,A,440,P,01242,B,750,4,,44,2007,2,EURO4,1390,1460,069,016
12547027,4,C,1207,P,"1995,00",G,2000,3,,84,2011,2,EURO5,1980,3030,115,016
7622707,0,A,395,P,01598,B,1200,5,,85,2006,2,EURO4,1610,1825,027,014
8084084,0,A,486,P,1422,G,1000,5,,59,2007,2,EURO4,1190,1650,034,012
10333665,0,A,397,P,1360,B,950,5,,54,2008,2,EURO4,1500,1620,036,019
6442217,0,A,365,P,00899,B,400,5,,29,1998,2,EURO2,0,1150,109,018
303346,0,A,250,,00594,B,,4,,16,,2,,,920,087,015
3665612,4,P,445,P,02171,G,1600,5,,85,1999,2,EURO2,0,1890,146,015
11152578,0,A,331,P,01360,GPL,1000,5,,54,2009,2,EURO4,1350,1642,110,018
7340242,4,U,0,A,,,,,,,2005,1,,0,650,038,108
238891,0,M,70,,00124,B,,2,,21,,2,,,279,002,017
1410461,0,A,425,P,01995,G,1500,5,,85,2004,2,EURO3,1900,1930,120,016
1733643,0,A,390,P,01108,B,400,5,,40,2004,2,EURO3,1430,1200,085,012
12279407,0,A,410,P,"1586,00",B,1200,5,,88,2011,2,EURO5,1490,1685,017,020
427315,0,A,360,,02399,G,,5,,52,1988,2,EURO0,,1815,034,012
7721010,0,A,415,P,01149,B,1200,5,,55,2006,2,EURO4,1390,1580,098,012
6168082,0,M,72,A,"123,00",MSC,0,2,,5.89,1979,2,EURO0,0,246,224,015
2461369,0,A,390,P,01108,B,400,5,,40,2002,2,EURO3,1430,1200,188,015
4945738,0,M,0,,00192,B,,2,,0,,0,,,0,046,097
14009281,0,A,494,P,"1956,00",G,1250,7,F,103,2014,2,EURO5,1690,2495,146,015
15832600,0,A,355,P,"1364,00",G,650,4,,65,2005,2,EURO4,1290,1545,084,012
15958127,0,A,460,P,"1242,00",B,750,5,,51,2017,2,EURO6,1200,1500,072,097
14591618,0,A,415,P,"1149,00",B,1200,5,GPL,55,2009,2,EURO4,1390,1580,226,015
510373,0,A,330,,01295,B,,5,,43,,0,,,1370,176,018
7627668,0,M,85,A,00125,B,,2,,7,2006,2,EURO2,0,278,021,017
3232132,0,A,335,P,"998,00",B,650,5,,50,2000,2,EURO3,1370,1335,070,012
12074685,0,A,365,P,"875,00",B,800,4,,62.5,2015,2,EURO5,920,1380,076,097
13610932,0,A,453,P,"1560,00",G,1300,5,F,84,2013,2,EURO5,1050,1708,013,014
13563946,0,A,345,P,"1199,00",B,1100,5,,60,2013,2,EURO5,1090,1453,009,015
4008001,0,A,380,P,01698,G,1100,5,,52,1994,2,EURO1,0,1475,170,016
12952409,0,A,525,P,"1968,00",G,1800,5,,103,2012,2,EURO5,1490,2135,051,097
13314737,2,A,488,P,"1199,00",G,1000,5,,55,2013,2,EURO5,990,1620,146,015
6710118,0,A,435,P,1242,B,1000,5,,44,2006,2,EURO4,1360,1385,146,015
14351464,0,M,75,A,"125,00",B,0,2,,7,2015,2,EURO3,0,273,086,015
8590580,0,A,415,P,01149,B,1200,5,,55,2007,2,EURO4,1390,1580,110,018
592081,0,A,0,,02112,G,,5,,0,,0,,,0,095,019
7735765,4,C,435,P,01248,G,1000,2,,51,2006,2,EURO4,1190,1515,003,016
14896812,4,C,595,P,"1461,00",G,1050,2,F,66,2016,2,EURO5,1190,1950,103,019
13304381,0,A,525,P,"1560,00",G,1300,5,,68,2013,2,EURO6,1070,1800,097,019
3589977,0,A,380,P,01119,B,700,5,,44,1999,2,EURO2,0,1460,088,017
5471948,4,C,1305,A,"2499,00",G,0,3,,55,1990,2,EURO1,0,3375,050,018
13700630,0,M,99,A,"847,00",B,0,2,,84.6,2014,2,EURO3,0,365,002,108
950345,0,A,0,,00499,B,,4,,0,,0,,,0,037,016
12679205,0,A,321,P,"1229,00",B,850,5,,63,2012,2,EURO5,1290,1559,108,015
15655223,2,C,1535,P,"2299,00",G,2500,3,F,100,2016,2,EURO5,1800,3500,017,020
12412788,0,A,425,P,"1598,00",G,1100,5,F,88,2009,2,EURO5,1240,1775,195,015
15582536,0,A,650,P,1242,B,1000,5,,54,1995,2,EURO2,150,1385,040,012
15630252,0,A,495,P,"1968,00",G,1900,5,,140,2015,2,EURO6,1490,2300,146,015
13594655,1,B,1850,P,"2143,00",G,2000,34,F,120,2011,2,EURO5,0,5000,024,016
11448359,0,A,365,P,01248,G,800,4,F,55,2010,2,EURO5,1100,1420,015,108
9323429,3,C,16000,A,09186,G,14000,2,,266,2002,3,EURO3,0,26000,019,097
9294780,0,A,435,P,01242,B,1000,5,,44,2008,2,EURO4,1360,1385,118,015
9381544,0,A,370,P,01242,B,800,5,,44,2008,2,EURO4,1330,1305,146,015
15998852,0,M,227,A,"798,00",B,0,2,,63,2017,2,EURO4,0,444,192,015
7239390,0,A,480,P,01560,G,1200,5,,80,2004,2,EURO4,1290,1810,130,017
14374161,0,A,416,P,"1461,00",G,1200,5,,78,2008,2,EURO4,1450,1930,080,017
9322656,0,A,405,A,01598,B,1200,5,,85,,0,EURO4,1580,1785,036,013
6559158,,,0,,00000,,,5,,0,,1,,,0,171,017
7291866,0,A,390,P,01360,GPL,1174,5,GPL,54,2005,2,EURO3,1450,1470,026,018
1287433,0,A,285,P,01328,B,1300,4,,62.5,2005,2,EURO4,1740,1420,092,012
7642789,0,A,285,P,01328,B,1300,4,,62.5,2006,2,EURO4,1740,1420,143,013
14902244,0,A,445,P,"1461,00",G,1500,5,F,66,2016,2,EURO6,1150,1775,179,017
2792953,0,A,320,P,01587,B,1100,4,,80,2001,2,EURO3,1660,1535,048,097
12140425,0,A,375,P,"1390,00",B,1200,4,,90,2010,2,EURO5,1190,1575,166,015
9383189,0,A,438,P,01560,G,1200,5,,66,2008,2,EURO4,1240,1790,146,015
150204,,,330,,01108,B,,5,,25,,2,,,1120,133,012
4476476,5,R,17840,A,00000,,,0,,0,1997,2,,0,22000,162,017
7010377,0,A,330,,01971,B,,5,,72,,0,EURO0,,1630,033,108
7745897,0,A,475,P,01896,G,1500,5,,85,2006,2,EURO4,1540,1940,146,015
1792332,0,A,419,P,01388,B,900,5,,59,2004,2,EURO4,1540,1520,041,015
9505055,4,C,1300,P,02148,G,2000,3,,80,2008,2,EURO4,0,3500,068,017
9201754,4,C,452,P,02497,G,2800,4,,103,2005,2,EURO3,0,2600,024,108
2852225,0,A,470,P,02967,B,1850,5,,175,2001,2,EURO3,2850,2190,146,015
6267824,0,M,105,A,00150,B-O,,2,,10.2,2000,2,EURO1,0,292,209,015
9455869,2,A,1700,P,1968,G,0,5,,105,2008,2,EURO4,144,2010,051,016
14049067,0,A,347,P,"2776,00",G,2500,5,F,147,2014,2,EURO5,2170,2585,061,017
6495738,0,A,330,P,00999,B,900,5,,37,1992,2,EURO0,0,1190,205,017
2537869,0,A,480,P,01910,G,1100,5,,74,2002,2,EURO3,1680,1875,021,108
5575285,0,A,330,P,02497,G,1100,5,,66,1987,2,EURO0,0,1720,177,018
12994759,0,A,1800,P,2477,G,0,7,,70,1990,2,EURO0,0,2500,054,108
5501736,0,A,520,P,01995,B,1200,7,,74,1991,2,EURO0,0,1820,146,015
5249063,4,U,180,A,0,,0,0,,0,2014,1,EURO0,0,880,146,015
7596859,0,A,760,P,02148,G,2000,8,F,110,2006,2,EURO4,2370,2940,113,015
6066649,0,A,355,P,01962,B,1200,5,,109,1991,2,EURO0,0,1585,140,012
9399790,0,A,377,P,01086,B,700,4,,46.3,2008,2,EURO4,1280,1336,004,016
8260332,0,A,645,P,01560,G,1180,7,,80,2007,2,EURO4,1550,2250,146,015
924312,0,M,125,A,01170,B,,2,,74,2005,2,EURO2,0,425,146,015
14881689,0,A,393,A,"998,00",B,0,5,,92,2016,2,EURO6,1250,1730,047,016
8013591,4,C,1050,A,02287,G,,3,,71,2007,2,EURO4,2544,3500,166,017
7658957,0,A,400,P,01248,G,900,4,,51,2006,2,EURO4,1230,1520,049,097
4566481,0,M,72,A,00123,MSC,,2,,5.89,1981,2,EURO0,0,246,179,017
9287037,4,C,605,A,01296,B,,2,,48,2008,2,EURO4,1990,1500,072,012
8943220,0,A,260,A,00998,B,,4,,50,2006,2,EURO4,1090,1180,010,108
3150523,0,A,395,P,01108,B,900,5,,40,2000,2,EURO2,1500,1320,053,016
8522132,0,A,505,P,01461,G,1300,5,,78,2007,2,EURO4,1380,1945,071,017
15545782,4,C,615,P,"1999,00",G,2000,5,F,110,2016,2,EURO6,1340,2350,001,016
10258144,0,A,485,P,01968,G,0,5,,125,2008,2,EURO4,156,1970,043,013
7431370,0,A,486,P,01968,G,1400,5,,103,2005,2,EURO4,1620,2060,012,108
13841753,0,A,755,P,"1560,00",G,1500,7,F,85,2014,2,EURO5,1050,2150,133,012
12047915,0,A,355,A,"1598,00",B,0,4,,135,2011,2,EURO5,1390,1660,027,015
11161817,4,C,445,P,01368,GPL,1000,2,,57,2009,2,EURO4,1190,1585,146,015
6783655,0,A,480,P,01686,G,1000,5,,74,2005,2,EURO4,1430,1935,077,015
210959,0,A,475,,01587,B,,5,,65,,2,,,1790,209,015
13627362,4,C,666,P,"1560,00",G,950,5,F,68,2013,2,EURO5,1390,2170,146,015
14388555,5,C,13050,P,"12882,00",G,15850,2,F,368,2015,4,EURO6,0,28150,146,015
8329130,0,M,105,A,00125,B-O,0,2,,10.5,2003,2,EURO1,0,319,036,019
11454352,0,M,107,A,00278,B,0,2,,15.8,2010,2,EURO3,0,340,075,013
1935812,0,A,394,P,00999,B,700,5,,43.4,2003,2,EURO3,1460,1316,023,108
12725074,0,A,455,P,"1199,00",G,1000,5,,55,2012,2,EURO5,890,1658,070,012
4738146,0,A,330,P,00899,B,800,5,,29,1996,2,EURO2,0,1115,133,012
3054122,4,C,850,A,02800,G,0,7,,78,2000,2,EURO2,0,3500,093,016
14765611,0,A,501,P,"1598,00",G,1500,5,,81,2016,2,EURO6,1040,1840,105,015
13077707,0,A,487,P,"1395,00",B,1500,5,,103,2012,2,EURO5,1160,1800,212,016
12493431,0,A,553,P,"1598,00",G,1400,5,,77,2011,2,EURO5,1230,1890,035,015
1696112,0,A,410,P,01124,B,926,5,,44.1,2004,2,EURO3,1430,1463,120,016
1706461,0,A,475,P,01689,G,1000,5,,67,2004,2,EURO3,1930,1980,182,018
12026928,0,A,545,P,"1798,00",B,1800,5,,118,2011,2,EURO5,1890,2050,018,014
7485904,0,A,485,P,01242,B,900,5,,48,2006,2,EURO4,1400,1590,046,108
9050283,0,A,425,P,01950,G,1600,5,,100,1999,2,EURO2,0,1875,093,016
12205689,0,M,120,A,"1050,00",B,0,2,,99.3,2011,2,EURO3,0,409,146,015
15105327,0,A,526,P,"1197,00",B,1300,5,,81,2016,2,EURO6,1170,1850,038,097
11661573,0,A,528,P,"1560,00",G,1300,5,,80,2010,2,EURO4,1190,1920,092,012
10220073,0,M,105,A,00151,B,,2,,8.9,2008,2,EURO3,0,300,063,016
10935161,0,M,109,A,00124,B,0,2,,7.65,2009,2,EURO3,0,305,171,015
1383294,0,A,385,P,01397,B,1000,5,,60,2003,2,EURO4,1700,1490,091,016
6161905,0,M,70,A,00346,B,,2,,24.6,1982,2,EURO0,0,320,146,015
237572,2,A,485,P,02497,G,2000,5,,130,2005,2,EURO4,2080,2155,146,015
11268689,0,A,505,P,01870,G,1350,5,,96,2007,2,EURO4,1490,1890,146,015
3153196,0,A,360,P,01396,B,1000,5,,76,2000,2,EURO2,1620,1500,146,015
12521935,0,A,436,P,"1398,00",G,950,5,,50,2011,2,EURO5,1040,1581,034,018
8403079,0,A,415,P,01391,B,1000,5,,44,1992,2,EURO1,0,1470,044,015
4885736,0,A,370,P,00899,B,400,5,,29,1996,,EURO2,0,1150,041,013
8735443,0,M,70,A,00247,B,,2,,9.92,1955,2,EURO0,0,280,198,016
8226614,0,A,70,A,01798,B,32,2,,69.18,1963,0,EURO0,0,1110,125,012
12570494,0,A,320,P,"996,00",B,200,4,,50,2011,2,EURO5,1030,1250,014,012
5875226,4,C,875,P,02446,G,1700,2,,61,1992,2,EURO1,0,2385,003,018
15959975,0,M,99,A,"847,00",B,0,2,,84.6,2017,2,EURO4,0,367,096,015
2150133,0,A,275,A,01299,B,0,4,,51,2003,2,EURO4,1500,1265,086,015
891821,0,A,545,P,01364,B,900,5,,66,2005,2,EURO4,1510,1825,146,015
597921,0,A,270,P,03600,B,1200,4,,184,1989,2,EURO0,0,1790,019,098
937819,0,A,458,P,01599,B,1200,5,,77.2,2005,2,EURO4,1670,1733,144,016
12362782,0,A,503,P,"1396,00",B,1200,5,,66.2,2011,2,EURO5,1390,1820,176,018
14878079,0,A,655,P,"2143,00",G,2500,5,F,125,2016,2,EURO6,1290,2500,211,015
12210003,0,M,107,A,"251,00",B,0,2,,14.8,2006,2,EURO2,0,380,146,015
13430641,0,A,205,A,"4961,00",B,0,2,,382,2007,2,EURO4,4000,1800,052,016
10091097,0,A,370,P,01242,B,800,4,,44,2008,2,EURO4,1380,1305,132,016
8662813,0,A,435,P,01995,G,1200,4,,105,2007,2,EURO4,1230,1820,130,015
12790185,0,A,460,P,"1242,00",B,750,5,,51,2012,2,EURO5,1150,1500,049,108
15013230,0,A,0,P,1242,B,800,4,,51,2015,2,EURO6,1190,1420,025,020
13813500,0,A,361,A,"999,00",B,0,4,,44,2014,2,EURO5,1050,1290,086,097
15753117,0,A,540,P,"1598,00",G,1300,5,,70,2016,2,EURO6,1520,2115,101,015
12297427,0,A,413,P,"1149,00",B,1200,5,,76,2011,2,EURO5,1250,1588,039,014
11753979,0,M,103,A,"125,00",B,0,2,,10.1,2010,2,EURO3,0,314,146,015
14331563,0,A,521,P,"1498,00",B,2000,5,,110,2015,2,EURO6,1430,2100,042,097
3469761,0,A,430,P,01124,B,600,5,,44.1,2000,2,EURO2,1550,1330,046,015
7925972,0,M,117,A,00647,B,,2,,41,1999,2,EURO1,0,435,039,108
9585290,0,A,435,P,02387,G,1500,5,,129,2003,2,EURO3,2350,2090,130,017
2923055,0,A,385,P,01397,B,800,5,,60,1999,2,EURO2,0,1480,146,015
12867966,0,M,133,A,"1690,00",B,0,1,,58,2012,2,EURO3,0,526,146,015
9666241,0,A,410,P,01598,B,750,4,,128,2008,2,EURO4,1500,1690,036,019
15074470,0,M,161,A,"798,00",B,0,2,,63,2008,2,EURO3,0,443,146,015
12270262,0,A,500,P,"1995,00",G,2000,5,,135,2011,2,EURO5,1470,2300,106,015
904180,0,A,330,P,00903,B,800,5,,33,1985,2,EURO0,0,1100,074,015
14557277,0,A,700,P,1461,G,1200,5,F,55,2015,2,EURO6,0,1670,038,017
13166360,0,A,457,P,"1499,00",G,750,5,,55,2013,2,EURO5,980,1575,032,015
11089681,0,M,100,A,00151,B,0,2,,8.9,2009,2,EURO3,0,300,040,017
14453000,0,A,487,P,"1598,00",G,1300,5,F,100,2015,2,EURO6,1040,2100,016,019
13812011,0,M,148,A,"1170,00",B,0,2,,81,2014,2,EURO3,0,450,030,020
1896499,0,A,435,P,01242,B,1000,5,,44,2003,2,EURO3,1360,1370,002,015
4990828,4,C,1060,A,03430,G,,2,,66,1989,2,EURO0,0,2980,146,015
9231750,0,A,410,P,01124,B,1000,5,,55,2008,2,EURO4,1300,1450,036,019
7449555,0,A,485,P,01368,B,1000,5,,57,2006,2,EURO4,1400,1600,075,012
15604310,4,C,0,,0,,,0,,0,,0,,0,0,149,017
10139579,0,M,122,A,00849,B,0,2,,92,2008,2,EURO3,0,390,120,017
717045,4,C,352,P,01868,G,1100,2,,51,2005,2,EURO3,0,1755,035,012
9539749,0,A,400,P,01586,B,1200,5,,79,2007,2,EURO4,1730,1670,015,015
