PROG,USO,DESTINAZIONE,PORTATA,FLAG_ANN_MASSA_RIMORC,CILINDRATA,ALIMENTAZIONE,MASSA_RIMORCHIABILE,NUMERO_POSTI,TIPO_ALIMENTAZIONE_IMPIANTO,KW,DT_PRIMA_IMMATRICOLAZIONE,NUMERO_ASSI,COD_SIGLA_EURO,EMISSIONI_CO2,PESO_COMPLESSIVO,COD_ISTAT_COMUNE,COD_ISTAT_PROVINCIA
12585129,0,A,321,P,"1229,00",B,850,5,,63,2011,2,EURO5,1290,1559,165,017
6445656,4,I,470,P,02500,G,1500,6,,85,1997,2,EURO2,0,3500,211,015
14423318,0,A,418,A,"1388,00",GPL,0,5,,71,2015,2,EURO6,1140,1530,124,012
1905638,0,A,395,P,01390,B,800,5,,55,2003,2,EURO4,1560,1575,146,015
6845777,0,A,355,P,01490,B,1000,5,,70,1986,2,EURO0,0,1340,150,018
3672525,4,P,370,P,02387,G,1500,5,,100,1999,2,EURO2,0,2025,201,017
14371412,0,A,550,P,"1560,00",G,1400,5,F,88,2015,2,EURO6,980,1805,116,018
6707796,0,A,425,P,01368,B,1000,5,,70,2006,2,EURO4,1570,1655,024,016
14654066,0,A,345,P,"1199,00",B,1100,5,,60,2015,2,EURO6,1090,1453,219,016
8778048,0,A,163,A,01781,B,0,2,,165,2000,2,EURO2,2280,1775,070,012
3411979,4,P,360,P,00899,B,800,5,,29,1999,2,EURO2,1600,1150,038,012
7631638,0,A,390,P,01108,B,400,4,,40,2006,2,EURO4,1430,1200,027,108
14704018,0,A,490,P,"1999,00",G,2000,5,F,110,2016,2,EURO6,1340,2350,065,020
13899680,0,A,417,P,"1598,00",GPL,1300,5,,77,2014,2,EURO5,1450,1745,146,015
10626667,0,M,118,A,00998,B,0,2,,92,2009,2,EURO3,0,410,063,014
6708791,4,P,490,P,01998,B,1600,5,,100,1994,2,EURO2,0,2115,146,015
12176314,0,A,451,P,"1198,00",B,800,5,,51,2011,2,EURO5,1250,1500,025,013
14300279,0,A,320,P,"1364,00",GPL,1200,5,,103,2015,2,EURO6,1240,1842,035,108
12619653,0,A,480,P,"2231,00",G,2000,7,,135,2012,2,EURO5,1740,2513,144,016
7554125,0,A,425,P,01368,B,1000,5,,70,2006,2,EURO4,1530,1660,024,016
9322180,0,C,1080,P,02477,G,2700,5,,85,2004,2,EURO4,0,2830,017,017
11263746,0,A,435,P,01149,B,1100,5,,43,2007,2,EURO4,1400,1425,001,017
9208828,4,C,396,P,01398,G,1141,2,,50,2004,2,EURO3,0,1490,083,012
14871312,0,A,310,A,"998,00",B,0,4,,51,2016,2,EURO6,950,1240,064,019
6908898,0,A,355,P,01598,B,1000,5,,75,2001,2,EURO3,1840,1500,024,016
7412679,0,A,275,A,"1299,00",B,0,4,,51,2005,2,EURO4,1500,1265,146,015
11960528,0,A,205,A,"999,00",B,0,2,,62,2011,2,EURO5,1200,1050,033,108
7630970,0,A,812,P,01951,G,2000,5,,82,2006,2,EURO3,2050,2505,039,108
15571016,0,A,250,A,"2279,00",B,0,4,,96.42,2016,2,,0,1630,103,017
6282268,4,U,250,A,,,,,,,1996,1,,0,840,040,108
12346113,0,A,390,P,"1242,00",B,200,5,,69,2011,2,EURO5,1190,1485,209,015
12559699,0,A,325,P,"1248,00",G,1000,5,,55,2015,2,EURO5,990,1647,043,108
12405610,0,A,505,P,"1995,00",G,1800,5,,105,2011,2,EURO5,1500,2120,195,015
3184178,0,A,435,P,01242,B,1000,5,,44,2000,2,EURO2,1360,1370,070,015
10882672,0,A,483,P,01396,GPL,1200,5,,80,2009,2,EURO4,1360,1820,010,097
10561311,0,M,113,A,00399,B,,2,,24.5,2009,2,EURO3,0,400,172,017
7862722,0,A,415,P,01149,B,1200,5,,55,2007,2,EURO4,1390,1580,123,016
3604804,0,A,355,P,01598,B,1000,5,,75,1999,2,EURO2,183,1500,098,019
1310830,0,A,476,P,01398,G,1100,5,,50,2005,2,EURO3,1130,1525,204,015
15958124,0,A,641,P,"1598,00",G,1500,5,F,77,2014,2,EURO5,1340,2180,170,015
12471958,0,A,426,P,2400,G,1800,7,,136,2007,2,EURO4,224,2220,030,020
11864507,4,C,535,P,"1248,00",G,600,2,,55,2010,2,EURO4,1190,1700,053,108
1066477,0,A,448,,02204,G,,5,,103,,2,,,2140,146,015
480913,0,A,330,,00965,B,,5,,35,,2,,,1140,146,015
12191425,0,A,492,P,"1997,00",G,1500,5,F,100,2010,2,EURO4,1530,1960,116,017
11320128,0,A,345,P,01149,B,350,4,,43,2010,2,EURO4,1300,1345,201,017
3375805,0,A,375,P,"1587,00",B,1300,5,GPL,81,2000,2,EURO2,0,1730,017,012
15716811,0,3,140,P,"567,00",B,160,2,,13.2,2017,2,EURO2,0,560,096,012
14261351,0,A,431,P,"1398,00",B,800,5,,66,2015,2,EURO6,1220,1630,117,017
6202844,0,M,70,A,00598,B,,2,,62,1988,2,EURO0,0,341,098,015
15128,0,A,360,,01588,G,,5,,39,,2,,,1280,214,016
6282153,4,X,0,A,00000,,,0,,0,1988,1,EURO0,0,770,209,015
12113294,0,A,649,P,"1598,00",B,1200,7,,86,2011,2,EURO5,1540,2072,146,015
3085803,0,M,111,A,00150,B,,2,,8.4,2001,2,EURO1,0,300,028,108
5973226,0,A,445,P,01929,G,1300,5,,66,1998,2,EURO2,0,1730,182,015
6805046,0,A,435,P,01242,B,1000,5,,44,2004,2,EURO3,1360,1385,101,013
14781129,0,M,0,A,999,B,0,2,,142,2011,2,EURO3,0,405,062,015
9762792,0,A,435,P,01242,B,1000,5,,44,2008,2,EURO4,1360,1385,146,015
7903507,0,A,416,P,01360,B,1150,5,,65,2007,2,EURO4,1520,1640,177,018
14994408,0,A,480,P,"1368,00",B,1200,5,,103,2015,2,EURO6,1390,1875,146,015
8833379,0,M,72,A,00123,MSC,0,2,,5,1980,2,EURO0,0,246,029,017
2203623,5,C,18000,S,06174,G,12000,3,,195,2002,2,EURO3,0,18000,165,013
13898995,4,C,644,P,"1560,00",G,970,5,F,84,2014,2,EURO5,1280,2200,146,015
443761,0,A,250,,00594,B,,4,,16,,2,,,920,146,015
14035919,0,A,482,P,"898,00",B,1200,5,,66,2014,2,EURO5,1130,1658,237,015
1083429,,,0,,00000,,,0,,0,,0,,,0,146,015
13861556,0,M,107,A,"278,00",B,0,2,,15.8,2014,2,EURO3,0,340,146,015
2982232,0,A,340,P,00973,B,650,4,,43,2001,2,EURO4,1560,1355,120,017
7197557,0,A,424,P,01399,G,750,5,,50,2004,2,EURO3,1160,1560,146,015
12136640,0,A,370,P,"1242,00",B,800,5,,51,2011,2,EURO5,1130,1305,069,018
625199,0,A,445,P,01995,G,1700,5,,110,2004,2,EURO3,1910,2265,125,017
4094556,0,A,465,P,01149,B,1100,5,,43,2001,2,EURO3,1430,1420,173,016
3114219,0,A,407,P,01896,G,1400,5,,85,2000,2,EURO3,1380,1815,073,016
7268672,4,C,500,A,02499,G,0,4,,105,2004,2,EURO3,2500,2520,080,018
13416761,0,A,544,P,"1390,00",B,1300,5,GPL,92,2013,2,EURO6,1520,2022,054,108
11819936,0,A,476,P,"1997,00",G,2000,5,,103,2010,2,EURO5,1560,2060,213,015
4555817,0,M,70,A,00248,MSC,0,2,,29.5,1988,2,EURO0,0,255,058,017
2013655,0,A,390,P,01108,B,400,5,,40,2003,2,EURO3,1430,1200,248,015
14578611,0,A,476,P,"998,00",B,650,5,,59,2015,2,EURO6,1050,1530,053,016
15066372,0,A,405,P,"1242,00",B,800,4,,51,2015,2,EURO6,1200,1420,146,015
8687458,0,A,481,P,01198,B,800,5,,44,2007,2,EURO4,1380,1570,154,015
4803090,4,C,985,P,01896,G,1500,3,,45,1992,2,EURO1,0,2500,010,098
1715875,0,M,121,A,00600,B,,2,,72,2004,2,EURO2,0,397,133,012
11347332,0,A,537,P,01956,G,1500,5,,118,2010,2,EURO5,1260,2040,139,015
10377220,0,A,441,P,01242,B,600,5,,60,2009,2,EURO4,1330,1495,138,013
6827635,4,X,1160,A,,,,,,,1993,1,,0,1500,123,012
2631224,0,A,500,P,02148,G,1500,5,,105,2002,2,EURO3,1890,2095,036,097
13790811,0,A,618,P,"1995,00",G,2500,5,F,110,2014,2,EURO6,1650,2510,085,015
5734096,0,A,350,P,01171,B,650,5,,43,1992,2,EURO1,0,1265,053,108
5909165,7,H,29260,A,0,,0,0,,0,2013,4,,0,36000,039,017
11444584,0,A,445,P,01910,G,1500,5,F,88,2010,2,EURO4,1570,2040,195,015
14042300,0,M,119,A,"530,00",B,0,2,,34.2,2014,2,EURO3,0,415,127,012
9493570,4,P,480,P,02151,G,1500,5,,92,1998,2,EURO2,0,1890,073,016
3525075,0,M,103,A,00152,B,0,2,,9.3,2000,2,EURO1,0,310,007,012
186267,0,A,350,,01929,G,,5,,66,,2,,,1580,078,015
10088338,0,A,680,P,03966,G,3360,5,,184,,2,EURO3,3400,3200,143,017
15830410,4,C,800,P,"2299,00",G,3000,3,F,120,2017,2,EURO6,2220,3500,042,097
4098198,0,A,565,P,01998,G,1800,5,,85,2001,2,EURO3,1590,2140,209,016
12358297,0,M,96,A,"205,00",B,0,2,,15.5,2011,2,EURO3,0,354,146,015
6959588,6,T,18000,P,17174,G,36000,2,,280.42,1983,2,EURO0,0,18000,056,020
11236132,0,A,470,P,01248,B,850,5,,57.2,2010,2,EURO4,1240,1515,013,108
1015840,0,A,590,P,01598,B,1200,5,,81,2005,2,EURO4,1780,2035,205,015
11551136,0,M,103,A,00124,B,0,2,,7.9,2010,2,EURO3,0,300,026,013
12124653,0,A,435,P,"1598,00",G,1300,5,,88,2011,2,EURO5,1200,1830,030,108
